ID Producto,Nombre del Producto,Presentación Visual (Web),Unidad
UND-001,Lechuga Americana,Pieza Entera,Und (Min. 300g)
UND-002,Lechuga Seda/Romana,Pieza Entera,Und (Min. 250g)
UND-003,Lechuga Orgánica/Morada,Pieza Entera,Und (Min. 200g)
UND-004,Col (Corazón/Morada),Pieza Entera,Und (Min. 1.5 Kg)
UND-005,Brócoli,Pieza Entera,Und (Min. 400g)
UND-006,Coliflor,Pieza Entera,Und (Min. 600g)
UND-007,Apio,Tallo Completo,Und (Min. 800g)
UND-008,Poro,Tallo Completo,Und (Min. 300g)
UND-009,Zapallo Italiano,Pieza Entera,Und (Min. 300g)
UND-010,Pepino (Normal/Japonés),Pieza Entera,Und (Min. 250g)
UND-011,Pimiento (Todos colores),Pieza Entera,Und (Min. 200g)
UND-012,Palta (Fuerte/Hass),Pieza Entera,Und (Min. 250g)
UND-013,Alcachofa,Pieza Entera,Und (Min. 300g)
UND-014,Maíz Morado / Choclo,Pieza Entera,Und (Min. 350g)